date,vessel_class,origin,destination,route_proxy_usd_t
2026-08,Supramax,Australia,East Coast India,28.0
2026-09,Supramax,Australia,East Coast India,28.6
2022-01,Handysize,Australia,East Coast India,16.8
2022-02,Handysize,Australia,East Coast India,17.0
2022-03,Handysize,Australia,East Coast India,18.0
2022-04,Handysize,Australia,East Coast India,19.2
2022-05,Handysize,Australia,East Coast India,20.1
2022-06,Handysize,Australia,East Coast India,21.7
2022-07,Handysize,Australia,East Coast India,22.2
2022-08,Handysize,Australia,East Coast India,21.9
2022-09,Handysize,Australia,East Coast India,21.1
2022-10,Handysize,Australia,East Coast India,20.2
2022-11,Handysize,Australia,East Coast India,19.4
2022-12,Handysize,Australia,East Coast India,18.4
2023-01,Handysize,Australia,East Coast India,18.0
2023-02,Handysize,Australia,East Coast India,18.4
2023-03,Handysize,Australia,East Coast India,18.1
2023-04,Handysize,Australia,East Coast India,17.7
2023-05,Handysize,Australia,East Coast India,17.2
2023-06,Handysize,Australia,East Coast India,17.6
2023-07,Handysize,Australia,East Coast India,18.0
2023-08,Handysize,Australia,East Coast India,19.0
2023-09,Handysize,Australia,East Coast India,19.7
2023-10,Handysize,Australia,East Coast India,20.1
2023-11,Handysize,Australia,East Coast India,19.6
2023-12,Handysize,Australia,East Coast India,19.1
2024-01,Handysize,Australia,East Coast India,19.2
2024-02,Handysize,Australia,East Coast India,19.5
2024-03,Handysize,Australia,East Coast India,19.3
2024-04,Handysize,Australia,East Coast India,20.0
2024-05,Handysize,Australia,East Coast India,20.9
2024-06,Handysize,Australia,East Coast India,21.4
2024-07,Handysize,Australia,East Coast India,22.2
2024-08,Handysize,Australia,East Coast India,22.0
2024-09,Handysize,Australia,East Coast India,21.2
2024-10,Handysize,Australia,East Coast India,20.4
2024-11,Handysize,Australia,East Coast India,20.9
2024-12,Handysize,Australia,East Coast India,21.5
2025-01,Handysize,Australia,East Coast India,21.0
2025-02,Handysize,Australia,East Coast India,20.5
2025-03,Handysize,Australia,East Coast India,21.3
2025-04,Handysize,Australia,East Coast India,22.0
2025-05,Handysize,Australia,East Coast India,22.8
2025-06,Handysize,Australia,East Coast India,22.4
2025-07,Handysize,Australia,East Coast India,21.9
2025-08,Handysize,Australia,East Coast India,22.5
2025-09,Handysize,Australia,East Coast India,23.1
2025-10,Handysize,Australia,East Coast India,22.8
2025-11,Handysize,Australia,East Coast India,23.3
2025-12,Handysize,Australia,East Coast India,23.9
2026-01,Handysize,Australia,East Coast India,23.6
2026-02,Handysize,Australia,East Coast India,24.0
2026-03,Handysize,Australia,East Coast India,23.6
2026-04,Handysize,Australia,East Coast India,23.4
2026-05,Handysize,Australia,East Coast India,24.0
2026-06,Handysize,Australia,East Coast India,24.7
2026-07,Handysize,Australia,East Coast India,25.0
2026-08,Handysize,Australia,East Coast India,24.8
2026-09,Handysize,Australia,East Coast India,25.3
2022-01,Capesize,Australia,East Coast India,24.2
2022-02,Capesize,Australia,East Coast India,25.0
2022-03,Capesize,Australia,East Coast India,27.2
2022-04,Capesize,Australia,East Coast India,30.0
2022-05,Capesize,Australia,East Coast India,32.2
2022-06,Capesize,Australia,East Coast India,35.0
2022-07,Capesize,Australia,East Coast India,36.4
2022-08,Capesize,Australia,East Coast India,35.7
2022-09,Capesize,Australia,East Coast India,33.3
2022-10,Capesize,Australia,East Coast India,31.9
2022-11,Capesize,Australia,East Coast India,29.4
2022-12,Capesize,Australia,East Coast India,27.7
2023-01,Capesize,Australia,East Coast India,26.9
2023-02,Capesize,Australia,East Coast India,27.6
2023-03,Capesize,Australia,East Coast India,26.8
2023-04,Capesize,Australia,East Coast India,25.7
2023-05,Capesize,Australia,East Coast India,24.9
2023-06,Capesize,Australia,East Coast India,25.5
2023-07,Capesize,Australia,East Coast India,26.3
2023-08,Capesize,Australia,East Coast India,27.9
2023-09,Capesize,Australia,East Coast India,29.6
2023-10,Capesize,Australia,East Coast India,30.5
2023-11,Capesize,Australia,East Coast India,29.9
2023-12,Capesize,Australia,East Coast India,28.7
2024-01,Capesize,Australia,East Coast India,29.3
2024-02,Capesize,Australia,East Coast India,30.1
2024-03,Capesize,Australia,East Coast India,29.8
2024-04,Capesize,Australia,East Coast India,31.0
2024-05,Capesize,Australia,East Coast India,32.7
2024-06,Capesize,Australia,East Coast India,34.2
2024-07,Capesize,Australia,East Coast India,36.0
2024-08,Capesize,Australia,East Coast India,35.6
2024-09,Capesize,Australia,East Coast India,33.8
2024-10,Capesize,Australia,East Coast India,32.4
2024-11,Capesize,Australia,East Coast India,33.1
2024-12,Capesize,Australia,East Coast India,34.5
2025-01,Capesize,Australia,East Coast India,33.8
2025-02,Capesize,Australia,East Coast India,33.0
2025-03,Capesize,Australia,East Coast India,34.7
2025-04,Capesize,Australia,East Coast India,36.2
2025-05,Capesize,Australia,East Coast India,38.0
2025-06,Capesize,Australia,East Coast India,37.1
2025-07,Capesize,Australia,East Coast India,36.0
2025-08,Capesize,Australia,East Coast India,37.0
2025-09,Capesize,Australia,East Coast India,38.2
2025-10,Capesize,Australia,East Coast India,37.1
2025-11,Capesize,Australia,East Coast India,38.0
2025-12,Capesize,Australia,East Coast India,39.4
2026-01,Capesize,Australia,East Coast India,38.7
2026-02,Capesize,Australia,East Coast India,39.2
2026-03,Capesize,Australia,East Coast India,38.5
2026-04,Capesize,Australia,East Coast India,38.1
2026-05,Capesize,Australia,East Coast India,39.0
2026-06,Capesize,Australia,East Coast India,40.2
2026-07,Capesize,Australia,East Coast India,41.1
2026-08,Capesize,Australia,East Coast India,40.5
2026-09,Capesize,Australia,East Coast India,41.3
